Channel Post ID,Short Link,Long Link
1006575616714510000,https://t.co/tvHSrrSH4E,https://www.jnjmedicaldevices.com/en-EMEA/news-events/johnson-johnson-opens-new-facility-prague
1006597027277470000,https://t.co/dCeMJ3eKdg,https://www.jnj.com/personal-stories/international-womens-day-5-ways-my-stem-career-has-made-me-a-better-person
1006597047556950000,No Link,No Link
1006612128336360000,https://t.co/dGgP3oUHCT,https://www.jnj.com/personal-stories/meet-the-jnj-engineer-who-is-giving-back-to-his-home-country
1006627218930450000,https://t.co/PxaOVXpfwE,https://www.jnj.com/personal-stories/meet-the-jnj-engineer-who-is-giving-back-to-his-home-country
1006627230922000000,No Link,No Link
1006642326578620000,https://t.co/g4MAgRTXqS,https://www.jnj.com/personal-stories/international-womens-day-5-ways-my-stem-career-has-made-me-a-better-person
1006656155882570000,No Link,No Link
1006914138059210000,https://t.co/2EG8Dxq345,https://www.jnj.com/health-and-wellness/myths-about-how-to-prevent-cancer
1006929257388490000,https://t.co/wxQj9Y7bdZ,https://www.jnj.com/health-and-wellness/3-modern-day-meditations-to-boost-your-confidence
1006944328764350000,https://t.co/Coay08vLEr,https://www.jnj.com/innovation/3-ways-johnson-and-johnson-is-taking-talent-acquisition-to-the-next-level
1006959428946610000,https://t.co/yuGu13K8ig,https://www.jnj.com/health-and-wellness/myths-about-how-to-prevent-cancer
1006974521847540000,https://t.co/5RTJGcp0sB,https://www.jnj.com/health-and-wellness/3-modern-day-meditations-to-boost-your-confidence
1006989612055760000,https://t.co/yRNvsx7Gds,https://www.jnj.com/innovation/3-ways-johnson-and-johnson-is-taking-talent-acquisition-to-the-next-level
1007276532123890000,https://t.co/Xyl2Lpd3Sv,https://www.jnj.com/caring-and-giving/why-blood-donations-are-important-in-the-summer
1007291639281430000,https://t.co/l6Hgz7L978,https://www.jnj.com/caring-and-giving/how-johnson-and-johnson-helps-kids-with-diabetes-worldwide-go-to-summer-camp
1007306712032920000,https://t.co/KxgDPNfxbR,https://www.jnj.com/caring-and-giving/25-years-of-helping-young-people-excel-in-school-and-life-bridge-to-employment
1007321817428750000,https://t.co/KcnnkjmQpX,https://www.jnj.com/caring-and-giving/why-blood-donations-are-important-in-the-summer
1007336906827460000,https://t.co/n3pJJtYeuG,https://www.jnj.com/caring-and-giving/how-johnson-and-johnson-helps-kids-with-diabetes-worldwide-go-to-summer-camp
1007352004908380000,https://t.co/l9sDNR6ptR,https://www.jnj.com/caring-and-giving/25-years-of-helping-young-people-excel-in-school-and-life-bridge-to-employment
1007650206647830000,https://t.co/xzwLChOTQA,https://news.wharton.upenn.edu/press-releases/2018/06/johnson-johnson-gift-provides-undergraduate-financial-aid-serves-communities-nursing-wharton-impact-scholars-loan-program/
1007654022613020000,https://t.co/HOKqrFwayM,https://www.jnj.com/personal-stories/how-parental-leave-benefits-helped-johnson-and-johnson-employees-embrace-parenthood
1007669121645980000,https://t.co/T63xq4xriX,https://www.jnj.com/personal-stories/bariatric-surgery-what-its-like-to-undergo-the-weight-loss-procedure
1007676645292080000,https://t.co/U1MIpv0kIQ,https://www.jnj.com/caring-and-giving/4-ways-johnson-amp-johnson-has-given-love-to-the-nurses-who-give-love-every-day
1007684203025250000,https://t.co/BEWppuQZjm,https://www.jnj.com/personal-stories/johnson-and-johnson-employee-adopted-orphan-with-aids
1007699295712230000,https://t.co/oMSju49Epj,https://www.jnj.com/personal-stories/how-parental-leave-benefits-helped-johnson-and-johnson-employees-embrace-parenthood
1007714389720530000,https://t.co/BEWppuQZjm,https://www.jnj.com/personal-stories/johnson-and-johnson-employee-adopted-orphan-with-aids
1007714401439350000,https://t.co/4IMrHKIBE9,https://www.jnj.com/personal-stories/bariatric-surgery-what-its-like-to-undergo-the-weight-loss-procedure
1008016393881760000,https://t.co/vuicU2Kii3,https://www.jnj.com/personal-stories/what-it-means-to-be-a-dad-today-5-modern-fathers-share-their-work-family-balance-secrets
1008031482965870000,https://t.co/THUkzTpXf6,https://www.jnj.com/personal-stories/jack-groppel-what-i-learned-from-climbing-mount-kilimanjaro
1008046580740570000,https://t.co/fPda0QQ23U,https://www.jnj.com/personal-stories/story/a-dads-story-how-adopting-my-daughter-from-china-changed-my-life
1008061680662770000,https://t.co/A2GuH7MoL3,https://www.jnj.com/personal-stories/what-it-means-to-be-a-dad-today-5-modern-fathers-share-their-work-family-balance-secrets
1008076769621130000,https://t.co/C8UcLlqWYM,https://www.jnj.com/personal-stories/story/a-dads-story-how-adopting-my-daughter-from-china-changed-my-life
1008076768987810000,https://t.co/ZO2SOX00No,https://www.jnj.com/personal-stories/jack-groppel-what-i-learned-from-climbing-mount-kilimanjaro
1008363685927090000,https://t.co/A3uarHOxEg,https://www.jnj.com/our-heritage/vintage-ads-from-johnson-johnson-featuring-fathers
1008378766140360000,https://t.co/URnFuMVGOF,http://healthforhumanityreport.jnj.com/
1008378779574680000,https://t.co/0HxgEsGkzI,https://www.jnj.com/media-center/media-assets/johnson-johnson-unveils-an-enhanced-parental-leave-policy-for-employees-worldwide
1008393873348080000,https://t.co/9vFlQKfrLx,https://www.jnj.com/our-heritage/johnsons-shaving-cream-soap-the-product-that-revolutionized-grooming-in-the-1900s
1008408971030460000,https://t.co/t7d7x7JX3z,https://www.jnj.com/our-heritage/vintage-ads-from-johnson-johnson-featuring-fathers
1008424065600830000,https://t.co/BVvkJQsood,https://www.jnj.com/media-center/media-assets/johnson-johnson-unveils-an-enhanced-parental-leave-policy-for-employees-worldwide
1008439160280100000,https://t.co/VdteR5NGG0,https://www.jnj.com/our-heritage/johnsons-shaving-cream-soap-the-product-that-revolutionized-grooming-in-the-1900s
1008711199167600000,https://t.co/5Jr01gSqLL,https://www.jnj.com/health-and-wellness/summer-skincare-tips-from-a-dermatologist
1008741202655630000,https://t.co/Z2DUzacNqD,https://www.jnj.com/health-and-wellness/summer-skincare-tips-from-a-dermatologist
1008756270390750000,https://t.co/tOkrY7VA4G,https://www.jnj.com/innovation/janssen-autism-spectrum-disorder-research
1008771357943970000,https://t.co/YEnKYsvyJM,https://www.jnj.com/innovation/5-things-we-now-know-about-autism
1008786460269530000,https://t.co/4PfRYdqHDe,https://www.jnj.com/innovation/5-things-we-now-know-about-autism
1008801545339700000,https://t.co/Yo7mDdtCMd,https://www.jnj.com/innovation/janssen-autism-spectrum-disorder-research
1009088457933710000,https://t.co/znWQKHAl1O,https://www.jnj.com/caring-and-giving/black-history-month-5-ways-johnson-and-johnson-is-boosting-african-american-health
1009103583579700000,https://t.co/ITUzRlyb8f,https://www.jnj.com/latest-news/how-artificial-intelligence-is-helping-janssen-discover-new-drugs
1009118636882250000,https://t.co/DJObfOzE45,https://www.aspenideas.org/?gclid=CjwKCAjw0ujYBRBDEiwAn7BKt5nVKjxzbgjFaZhyBr7MEG9joAOeMj9qZeDwRHP-G57Cdhks3tmNEhoCAtMQAvD_BwE
1009133745159450000,https://t.co/wfYpg0qPh4,https://www.jnj.com/innovation/how-the-microbiome-could-transform-your-skin-in-surprising-ways
1009133746774250000,https://t.co/trVCXvgYfc,https://www.jnj.com/caring-and-giving/black-history-month-5-ways-johnson-and-johnson-is-boosting-african-american-health
1009148121941710000,https://t.co/qv0Lav1mvt,https://www.jnj.com/innovation/how-the-microbiome-could-transform-your-skin-in-surprising-ways
1009148130758180000,https://t.co/f6ubIFPVgH,https://www.jnj.com/latest-news/how-artificial-intelligence-is-helping-janssen-discover-new-drugs
1009183870158280000,No Link,No Link
1009183879951940000,No Link,No Link
1009458382867190000,https://t.co/ZDyW39BUsw,https://www.jnj.com/personal-stories/i-escaped-war-torn-syria-the-story-of-a-johnson-and-johnson-refugee-scientist
1009458387589980000,https://t.co/fahr9HpuzH,https://www.jnj.com/personal-stories/i-escaped-war-torn-syria-the-story-of-a-johnson-and-johnson-refugee-scientist
1009481045836790000,https://t.co/INUEIU4hog,https://www.jnj.com/personal-stories/3-johnson-johnson-employees-making-difference-in-their-communities
1009496186066250000,https://t.co/MsnKMlNMUG,https://www.jnj.com/caring-and-giving/how-johnson-johnson-save-the-children-help-young-syrian-refugees
1009511260080260000,https://t.co/EiIJmOFaTr,https://www.jnj.com/personal-stories/3-johnson-johnson-employees-making-difference-in-their-communities
